Date,Open,High,Low,Close,Volume,Market Cap
03-11-2021,0.002509976686261748,0.0025825047456223132,0.002436414015772125,0.0025135247834503997,6291.63,0
02-11-2021,0.00251788977631,0.00253624242024,0.0024140683103515176,0.002508742684744154,14760.61,0
01-11-2021,0.0025045723420650963,0.0025378557492964616,0.002414358558239806,0.00251544749866,0,0
31-10-2021,0.0027049365315216832,0.0027756727886111394,0.0024528912019887755,0.002504029304691023,15431.45,0
30-10-2021,0.002694096597274479,0.002733199489853018,0.0025620685008169116,0.002694720684220825,5839.03,0
29-10-2021,0.0026189224709994656,0.00274691676181,0.002598586341551799,0.00269201367258549,351.14,0
28-10-2021,0.00242386295195,0.0026175008837125598,0.002352382944652229,0.002616147663843199,8786.39,0
27-10-2021,0.00254936935927,0.00265047983662,0.00238673397767,0.00242054780833,0,0
26-10-2021,0.0026144611040333997,0.002742697422875274,0.0025076852474202544,0.00255066338968,0,0
25-10-2021,0.00253480616443,0.0026394611486606403,0.00251802416519,0.0026093780386579044,1924.82,0
24-10-2021,0.0025943498906017995,0.0026579533928010454,0.002473547582731212,0.00253873147509,0,0
23-10-2021,0.0024767409729096234,0.002636206185664913,0.002464280277129225,0.0025918908465054746,685.3,0
22-10-2021,0.00252189142724,0.00258099045974,0.002445500599131605,0.0024749772389517236,85.45,0
21-10-2021,0.002575934343780079,0.00268882530368,0.00251377818803,0.00252457350043,0,0
20-10-2021,0.0024493050369780315,0.002580393660644158,0.002378125127664448,0.002580393660644158,4328.02,0
19-10-2021,0.0023800356609778744,0.0024708878402311227,0.0023722933807338938,0.002460754273832742,97.43,0
18-10-2021,0.002435545044977003,0.00247223957619658,0.002354073561977575,0.002379859788806709,348.2,0
17-10-2021,0.002457663177586907,0.0024908559744229895,0.002343833873148552,0.0024332915029566843,1228.34,0
16-10-2021,0.002480153412669582,0.002525215778520153,0.0024356617102470487,0.002457725394200985,268.64,0
15-10-2021,0.00244622908447602,0.0024961139771755643,0.0023811381779234226,0.0024767564987698953,1304.47,0
14-10-2021,0.0023286149613261976,0.0024744937771128497,0.002327029048222835,0.002453684416043384,1453.15,0
13-10-2021,0.0023066314637217675,0.0023311691757787693,0.002227955524479617,0.0023270956847745244,3101.15,0
12-10-2021,0.0023466257787778852,0.002348603361271249,0.002257382745910203,0.0023057391770728215,785.07,0
11-10-2021,0.00231431133133016,0.002395929911737033,0.002297946616082681,0.0023481550855218034,2897.96,0
10-10-2021,0.002417029326156251,0.002418807566566781,0.0023146956474854666,0.00231643676949838,151.44,0
