,Token Name,Token Symbol,Title,Percent
73,Liquidifty,LQT,"['Private Sale Allocation', 'Public Sale Allocation', 'Team', 'Advisors', 'Farming pools', 'Liquidity for DEXes', 'Early adopters bonuses', 'Business Expenses', 'Special program for strong holders', 'Liquidity mining programs', 'Reserve / Strategic partnerships']","[13.95, 1.2, 13.85, 5, 13.5, 10, 2.5, 10, 6, 12, 12]"
75,FUFU,FUFU,"['Private sale', 'Public sale', 'Staking', 'Development Fund', 'Team', 'Advisors & Partnerships']","[17, 1, 25, 37, 12, 8]"
82,ITSMYNE,MYNE,"['Seed sale', 'Private sale', 'Public sale', 'Liquidity provision', 'Ecosystem, rewards and staking', 'Company reserves', 'Team', 'Advisors']","[4.14, 11.19, 4.17, 5.5, 42, 10, 17, 6]"
83,Picipo,PICIPO,"['Tokensale', 'Team & Advisors', 'Liquidity (incl. BSC)', 'Integrations & Partnerships', 'Promotion & User Acquisition', 'Artist Foundation', 'Reserve fund', 'Marketing', 'Liquidity for Uniswap']","[20, 15, 15, 10, 10, 10, 10.9, 5, 4.1]"
85,TAHU,TAHU,"['Seed sale and private sale', 'Partnership & Advisors', 'Team', 'Marketing', 'Presale for IDO', 'Ecosystem', 'Liquidity', 'Operation and Development']","[5, 10, 10, 11, 20, 18, 15, 11]"
91,Cloud NFT,CLOUD,"['Seed round', 'Strategic round', 'Pre-Sale', 'Public sale', 'Team and advisors', 'Marketing, community incentivization and partnership', 'Liquidity pool on Uniswap and other DEXes', 'Company reserve']","[5, 7, 7, 11, 25, 22, 3, 20]"
93,Kephi Gallery,KPHI,"['Exchanges', 'Loyalty Programm ', 'Future Development ', 'Private Sale', 'IFO (KAI)', 'IDO (BSC)', 'Marketing', 'Advisors', 'Team']","[15, 15, 5, 14, 8, 8, 10, 7, 18]"
106,DNFT Protocol,DNF,"['IDO', 'Private sale', 'Team', 'Early community and ecosystem construction', 'Ecosystem grant plan', 'DNFT mainnet development and construction', 'Project development', 'Seed sale']","[1, 7, 20, 5, 10, 35, 20, 2]"
109,2crazyNFT,2CRZ,"['Liquidity rewards', 'Seed', 'Private sale ', 'Public sale', 'Market maker', 'Team', 'Advisors', 'Pre seed', 'Reserve', 'Company']","[8.85, 4, 6.33, 1.13, 1, 14, 3, 0.9, 10, 52]"
111,PhotoChromic,PHCR,"['Community incentive', 'Private sale & IDO', 'Team', 'Development', 'Marketing & Partnerships', 'Advisory', 'Liquidity pool']","[35, 21, 18, 12.5, 7.5, 3.5, 2.5]"
122,Blockasset,BLOCK,"['Public', 'Foundation & Reserves', 'Ecosystem Incentives', 'Team', 'Liquidity', 'Partnerships, Advisors & Consultants ', 'Private round 1', 'Private round 2', 'Seed', 'IDO']","[1.3, 25, 25, 12.6, 12.5, 10, 9, 2.5, 2.1, 1.3]"
132,Starly,STARLY,"['Pre-Seed Round', 'Seed Round', 'Private Round', 'Community Round', 'IDO', 'Partnerships', 'Team', 'Advisors', 'Marketing', 'Token Liquidity', 'Ecosystem Development Fund', 'Community Incentives ', 'Liquidity mining ']","[7.5, 3.5, 6, 3, 0.75, 11.05, 17.5, 1, 5, 5, 14.65, 17.5, 7.55]"
134,UNQclub,UNQ,"['Team & Advisors', 'Seed round', 'Strategic round', 'Public', 'Marketing', 'Liquidity', 'Staking rewards', 'Treasury']","[20, 15, 7.5, 1.5, 5, 10, 25, 16]"
136,Pandora Protocol,PNDR,"['Team & Advisors', 'Community Rewards', 'Public Sale', 'Early supporters/ investors', 'Seed investors', 'Private sale', 'Strategic reserve']","[18, 39, 1, 3, 7, 17, 15]"
142,Quidd,QUIDD,"['Private/Pre-Sale', 'Public Sale', 'Company Reserve', 'Team & Advisors', 'Collect To Earn', 'Marketing', 'Content & Developers Fund', 'Liquidity Pool ']","[8, 10, 22, 15, 12.5, 5, 12.5, 15]"
